012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS18348-0526	 V* V437 Sct, IRAS 18348-0526, 2MASS J18373250-0523591, MSX5C G026.5439+00.6178, OH 26.5 +0.6, RAFGL 2205, LFO93 1834-05, NHO98 18348-0526, PCC93 283, TVH89 329, WTM81 OH 026.5+00.6, 
IRAS18349+1023	 V* V1111 Oph, IRAS 18349+1023, IRC +10365, 2MASS J18371926+1025422, RAFGL 2206, SV* SON 9911, LFO93 1834+10, PCC93 284, TVH89 330, 
IRAS18354-1108	 IRAS 18354-1108, 
IRAS18359+0847	 V* X Oph, ** HU 198, ** HU 198AB, ADS 11524 AB, AG+08 2342, BD+08 3780, CCDM J18384+0850AB, DO 4964, GC 25485, GCRV 11092, GEN# +1.00172171J, GSC 01025-01976, HD 172171, HIC 91389, HIP 91389, HR 7002, IRAS 18359+0847, IRC +10366, 2MASS J18382111+0850030, PLX 4294, PPM 166252, RAFGL 2213, SAO 123744, SKY# 34160, TYC 1025-1976-1, YZ 8 8704, KW97 34-45, PCC93 286, AAVSO 1833+08, p. WDS J18383+0850, p. WDS J18384+0850, 
IRAS18365-1353	 V* V452 Sct, ALS 9808, ALS 5107, BD-13 5061, EM* AS 314, GEN# -0.01305061, GSC 05704-00473, HIC 91477, HIP 91477, IRAS 18365-1353, LS IV -13 82, LS 5107, 2MASS J18392610-1350470, PPM 234847, TYC 5704-473-1, UBV 15845, 
IRAS18373-0021	 IRAS 18373-0021, 
IRAS18375+0510	 IRAS 18375+0510, 2MASS J18395964+0513141, MSX6C G036.2878+04.9180, PCC93 288, 
IRAS18378-1045	 IRAS 18378-1045, 
IRAS18382-1338	 IRAS 18382-1338, 
IRAS18387-0423	 NSV 11202, DO 5003, IRAS 18387-0423, IRC +00363, RAFGL 2227, 
IRAS18387-0951	 IRAS 18387-0951, 
IRAS18391+0004	 IRAS 18391+0004, 2MASS J18414204+0007263, MSX5C G031.9314+02.2229, 
IRAS18395+0130	 MSX6C G033.2453+02.7975, IRAS 18395+0130, 
IRAS18396-0807	 IRAS 18396-0807, 
IRAS18398+1035	 V* V665 Oph, AN 288.1936, IRAS 18398+1035, 2MASS J18420997+1038548, 
IRAS18404-0645	 IRAS 18404-0645, 
IRAS18406-1537	 IRAS 18406-1537, 
IRAS18410+2256	 V* AE Her, CSI+22-18411, GCRV 11165, HD 342906, IRAS 18410+2256, 2MASS J18431156+2259438, SV* HV 3606, AAVSO 1839+22, 
IRAS18413+1354	 V* V837 Her, IRAS 18413+1354, IRC +10374, 2MASS J18433646+1357228, NSV 11263, RAFGL 2241, BSD80 184117+135430, LFO93 1841+13, PCC93 292, 
IRAS18417-0200	 IRAS 18417-0200, 2MASS J18441867-0157193, MSX5C G030.3792+00.6931, 
IRAS18417-0205	 IRAS 18417-0205, MSX5C G030.3109+00.6593, 
IRAS18420+1137	 IRAS 18420+1137, 
IRAS18421+2309	 V* DW Her, AN 84.1934, IRAS 18421+2309, ROTSE1 J184413.82+231230.0, AAVSO 1840+23A, 
IRAS18422-0116	 IRAS 18422-0116, 2MASS J18444992-0113239, MSX5C G031.0897+00.9113, 
IRAS18423-0135	 IRAS 18423-0135, 
IRAS18430+3437	 V* RY Lyr, AN 17.1903, CSI+34-18430, GCRV 11201, IRAS 18430+3437, AAVSO 1841+34, 
IRAS18431-0403	IRAS 18431-0403, V439 Sct, 
IRAS18432-0040	 IRAS 18432-0040, 2MASS J18454749-0037345, MSX5C G031.7307+00.9706, 
IRAS18432-0149	 V* V1360 Aql, GLMP 826, IRAS 18432-0149, MSX5C G030.7152+00.4268, MSX6C G030.7147+00.4264, OH 30.72 +0.43, OH 30.7 +0.4, JHC82 030.7+0.4, PCC93 296, TVH89 346, WTM81 OH 030.7+00.4, 
IRAS18434-0202	 OH 30.55 +0.28, IRAS 18434-0202, 
IRAS18436+4334	 V* RW Lyr, AN 17.1902, CSI+43-18436, HD 173798, IRAS 18436+4334, IRC +40328, RAFGL 2246, ROTSE1 J184509.96+433806.5, PCC93 299, TVH89 347, AAVSO 1842+43, 
IRAS18437+3614	 V* SV Lyr, AN 80.1905, CSI+36-18438, GCRV 68619, IRAS 18437+3614, SV* R 54, AAVSO 1842+36, 
IRAS18437-0643	 V* V440 Sct, IRAS 18437-0643, OH 26.4 -1.9, 
IRAS18441+2216	 PCC93 300, IRAS 18441+2216, 2MASS J18461336+2220109, 
IRAS18443-0446	 IRAS 18443-0446, 
IRAS18444-1035	 IRAS 18444-1035, 
IRAS18445-0207A	IRAS18445-0207A, 
IRAS18445-0222	 IRAS 18445-0222, GAL 030.38-00.11, WFS 43, 
IRAS18446-0034	 IRAS 18446-0034, 2MASS J18471546-0030396, MSX5C G032.0007+00.6973, 
IRAS18446-0150	 WHR97 18446-0150, GAL 030.87+00.11, GPSR 30.866+0.114, HSNH 89, IRAS 18446-0150, WBH98 18446-0150, 
IRAS18446-0209	 IRAS 18446-0209, 
IRAS18448-0146	 IRAS 18448-0146, 
IRAS18449-0115	 WWB83 G031.41+0.31, GAL 031.41+00.31, IRAS 18449-0115, HC96 G31.41+0.31, L89b 31.411+00.309, WAM82 031.413+0.307, WBH98 18449-0115, WC89 031.41+0.31, WHR97 18449-0115, 
IRAS18449-0207	IRAS 18449-0207, 
IRAS18450-0148	 MSX6C G030.9441+00.0350, IRAS 18450-0148, MSX5C G030.9444+00.0347, OH 31.0 +0.0, W 43A, SVM2001b 223, TVH89 353, 
IRAS18450-0200	 WHR97 18450-0200, GAL 030.76-00.05, IRAS 18450-0200, WBH98 18450-0200, 
IRAS18454-0158	IRAS18454-0158, 
IRAS18455+0448	 IRAS 18455+0448, MSX5C G036.8745+02.9676, MSX6C G036.8738+02.9676, 
IRAS18455-0149	 SHK2000 18455-0149, GAL 031.00-00.08, IRAS 18455-0149, PCC93 315, 
IRAS18455-0200	 SNR G030.8-00.2, ASB 46, 3C 390.2, CTB 59, GAL 030.8+00.02, GAL 030.8+00.0, IRAS 18455-0200, IRC +00379, LMH 35, MM 35, NRAO 581, NSV 11355, RAFGL 2254, SNR G030.8-00.0, SRBY 171, W 43, HC69 10, KCW94 031.280+00.063, MSM95 G30.79 FIR 6, 
IRAS18455-0204	IRAS 18455-0204, 
IRAS18456-0129	 WHR97 18456-0129, IRAS 18456-0129, WBH98 18456-0129, 
IRAS18457-0205	IRAS 18457-0205, 
IRAS18460-0151	 MSX6C G031.0126-00.2195, IRAS 18460-0151, OH 31.0 -0.2, 
IRAS18461-0136	 WBH98 18461-0136, IRAS 18461-0136, 
IRAS18462+5353	 V* BZ Dra, IRAS 18462+5353, 2MASS J18471785+5356472, ROTSE1 J184717.62+535644.0, SV* SON 9361, AAVSO 1845+53, 
IRAS18464-0140	 IRAS 18464-0140, 
IRAS18469-0041	 IRAS 18469-0041, 
IRAS18469-0132	 GAL 031.3-00.2, GAL 031.40-00.26, IRAS 18469-0132, GSL2002 88, KC97c G031.4-00.3, L89b 31.401-00.259, WBH98 18469-0132, WHR97 18469-0132, WWB83 G031.40-0.26, 
IRAS18470-0049	 RJS2006 MSXDC G031.97+00.07 MM1 IRAS 18470-0049, HLB98 SEST 182, PCC93 323, 
IRAS18474+0150	 IRAS 18474+0150, 2MASS J18495698+0154218, MSX5C G034.4589+01.2002, 
IRAS18475-1428	 IRAS 18475-1428, GLMP 835, 
IRAS18478-0058	 IRAS 18478-0058, MSX5C G031.9927-00.1821, 
IRAS18479-0005	 IRAS 18479-0005, GRS 032.78 +00.19, RAFGL 5536, GSL2002 89, 
IRAS18480-0131	 IRAS 18480-0131, 2MASS J18503715-0127516, MSX5C G031.5354-00.4850, 
IRAS18481+0405	 IRAS 18481+0405, MSX6C G036.5373+02.0723, 
IRAS18487-0015	 IRAS 18487-0015, GAL 032.74-00.07, 
IRAS18488-0107	 V* V1363 Aql, CPM P5, GLMP 839, IRAS 18488-0107, MSX5C G031.9853-00.4854, MSX6C G031.9844-00.4849, OH 32.0 -0.5, OH 31.98 -0.49, 
IRAS18494-0130	 V* V1364 Aql, IRAS 18494-0130, 2MASS J18520144-0126463, MSX5C G031.7114-00.7898, OH 31.7 -0.8, JHC82 031.7-0.8, PCC93 327, TVH89 363, WTM81 OH 031.7-00.8, AAVSO 1846-01C, 
IRAS18496+0004	 IRAS 18496+0004, GAL 033.13-00.09, 
IRAS18498-0017	 V* V1365 Aql, IRAS 18498-0017, MSX5C G032.8286-00.3155, OH 32.8 -0.2, OH 32.8 -0.3, RAFGL 5540, JHC82 032.8-0.3, LFO93 1849-00B, PCC93 330, TVH89 365, WTM81 OH 032.8-00.3, 
IRAS18502+0051	 WWB83 G033.91+0.11, GAL 033.91+00.11, GAL 033.92+00.11, GPSR5 33.914+0.110, GRS 033.91 +00.11, IRAS 18502+0051, RAFGL 5541, ABG85 64, ABG85 63, GSL2002 90, KB94 22, KC97c G033.9+00.1, L89b 33.914+00.111, WAM82 033.914+0.111, WC89 033.92+0.11, 
IRAS18507+0121	 GAL 034.4+00.23, GAL 034.403+00.228, IRAS 18507+0121, Mol 74, RJC2005 G034.43+00.24 MM 2, 
IRAS18509-0018	 IRAS 18509-0018, MSX5C G032.9535-00.5695, MSX6C G032.9524-00.5687, 
IRAS18511+0038	 IRAS 18511+0038, 
IRAS18511-1044	 IRAS 18511-1044, 
IRAS18512+2029	 IRAS 18512+2029, LMW2001 559, 
IRAS18512-0051	 IRAS 18512-0051, 
IRAS18516+0028	 IRAS 18516+0028, 2MASS J18541154+0032371, MSX5C G033.7299-00.3648, 
IRAS18518+3626	 V* SU Lyr, AN 59.1905, IRAS 18518+3626, NOVA Lyr 1905, ROTSE1 J185337.90+363041.2, AAVSO 1850+36, 
IRAS18522+0032	 IRAS 18522+0032, LFO93 1852+00, 
IRAS18523+3246	 V* RX Lyr, AN 10.1903, CSI+32-18523, GCRV 68806, IRAS 18523+3246, ROTSE1 J185410.14+324957.4, AAVSO 1850+32, 
IRAS18530+0817	 LFO93 1853+08, EIC 719, IRAS 18530+0817, 
IRAS18530+3123	 V* SX Lyr, AN 82.1905, IRAS 18530+3123, AAVSO 1851+31, 
IRAS18536+0753	 IRAS 18536+0753, 
IRAS18549-0001	 IRAS 18549-0001, 
IRAS18553+0414	IRAS 18553+0414, 
IRAS18556+0003	 IRAS 18556+0003, 
IRAS18556+1409	 MSX6C G046.3572+05.0141, IRAS 18556+1409, 2MASS J18575917+1413196, 
IRAS18559+0103	 IRAS 18559+0103, 
IRAS18560+0638	 V* V1366 Aql, EIC 725, IRAS 18560+0638, MSX5C G039.7125+01.4946, MSX6C G039.7125+01.4946, OH 39.7 +1.5, RAFGL 2290, LFO93 1856+06, NHO98 18560+0638, PCC93 345, TVH89 373, 
IRAS18561+1642	 V* EU Aql, AN 13.1929, GSC 01585-00882, IRAS 18561+1642, IRC +20381, 2MASS J18582374+1646542, SV* SVS 198, USNO-A1.0 1050-12635261, LMW2001 538, AAVSO 1853+16, 
IRAS18561+1642	IRAS 18561+1642, EU Aql, IRC +20381, 
IRAS18563+0428	IRAS 18563+0428, 
IRAS18563+0816	 IRAS 18563+0816, 2MASS J18584384+0820104, MSX6C G041.1817+02.1830, 
IRAS18564+0155	 IRAS 18564+0155, 2MASS J18585910+0159179, MSX5C G035.5620-00.7714, 
IRAS18566+0923	 IRAS 18566+0923, 
IRAS18567+0003	 IRAS 18567+0003, 2MASS J18592117+0007264, MSX6C G033.9447-01.7042, PCC93 346, 
IRAS18568+0550	 MSX6C G039.0925+00.9408, IRAS 18568+0550, 
IRAS18569+1722	 V* V1552 Aql, IRAS 18569+1722, 2MASS J18591096+1727036, Mis V0200, NSVS 11083695, 
IRAS18575-0139	 V* VX Aql, AN 36.1917, C* 2687, Case 621, CGCS 4152, CSS 1093, DO 5247, FASTT 1466, GEN# +6.10182687, GSC 05128-00947, IRAS 18575-0139, IRC +00404, Kiso C4-45, 2MASS J19000961-0134565, SV* HV 3431, USNO-A1.0 0825-14018550, AAVSO 1854-01, 
IRAS18576+0341	 V* V1672 Aql, GLMP 855, GPSC G037.277-00.227, IRAS 18576+0341, 2MASS J19001089+0345471, RAFGL 2298, 
IRAS18578+0831	 MSX6C G041.5856+01.9568, IRAS 18578+0831, 
IRAS18578+0951	 IRAS 18578+0951, 
IRAS18581+1405	 V* V1675 Aql, IRAS 18581+1405, 2MASS J19002812+1409534, Mis V0516, MSX5C G046.5779+04.4497, MSX6C G046.5775+04.4508, 
IRAS18585+0900	 LFO93 1858+09, IRAS 18585+0900, MSX6C G042.0920+02.0478, ELL90 240, 
IRAS18586-1249	 V* ST Sgr, AN 30.1901, CCDM J19016-1247AB, CSI-12-18587, CSS 1096, GCRV 11463, GSC 05715-01103, HD 176592, IDS 18559-1255, IRAS 18586-1249, IRC -10482, 2MASS J19012919-1245341, RAFGL 2300, S1* 586, SV* HV 175, AAVSO 1855-12A, 
IRAS18587-0548	IRAS 18587-0548, V941_Aql, 
IRAS18588+0428	 2MASS J19012005+0432315, IRAS 18588+0428, MSX5C G038.1012-00.1251, OH 38.10 -0.13, 
IRAS18592+0108	 IRAS 18592+0108, GAL 035.20-01.73, GAL 035.20-01.74, 
IRAS18592+1455	 V* V1679 Aql, IRAS 18592+1455, 2MASS J19013225+1500218, Mis V0255, MSX5C G047.4481+04.5999, MSX6C G047.4476+04.5997, 
IRAS18595+3726	 V* RT Lyr, AN 5.1902, BD+37 3309a, GCRV 11483, IRAS 18595+3726, 2MASS J19011489+3731202, UCAC2 45028022, AAVSO 1857+37, 
IRAS18595+4625	IRAS 18595+4625, V548 Lyr, 
IRAS18595-0053	 HD 176809, BD-01 3624, GSC 05128-00621, IRAS 18595-0053, 2MASS J19020765-0049136, MSX5C G033.4093-02.7465, PPM 707477, TYC 5128-621-1, 
IRAS18596+0315	 MSX6C G037.1185-00.8473, GH2O 037.10-00.80, IRAS 18596+0315, OH 37.12 -0.85, OH 37.1 -0.8, PN PM 1-275, 
IRAS19005+0843	 IRAS 19005+0843, 
IRAS19008+4708	 V* WZ Lyr, AN 28.1925, CSI+47-19009, GCRV 69003, IRAS 19008+4708, AAVSO 1859+47, 
IRAS19009-0701	 IRAS 19009-0701, 
IRAS19017+0412	 PCC93 348, IRAS 19017+0412, MSX5C G038.2026-00.8881, MSX6C G038.2026-00.8881, 
IRAS19017+0608	 V* V1367 Aql, IRAS 19017+0608, 2MASS J19040974+0613163, MSX5C G039.9158+00.0180, MSX6C G039.9159+00.0185, OH 39.9 +0.0, OH 39.9 -0.0, 
IRAS19017-0545	IRAS 19017-0545, V Aql, 
IRAS19023+0745	 IRAS 19023+0745, MSX6C G041.4170+00.6369, 
IRAS19026+1300	 MSX6C G046.1075+02.9931, IRAS 19026+1300, 2MASS J19045599+1305064, MSX5C G046.1069+02.9932, 
IRAS19028+0604	 IRAS 19028+0604, MSX5C G039.9826-00.2758, 
IRAS19031-0035	 IRAS 19031-0035, 
IRAS19032+1715	 IRC +20386, IRAS 19032+1715, 2MASS J19052866+1720122, 
IRAS19037+0204	 IRAS 19037+0204, 
IRAS19037+0824	IRAS 19037+0824, 
IRAS19037+2800	 V* UU Lyr, AN 109.1914, IRAS 19037+2800, ROTSE1 J190542.19+280458.3, UCAC2 41749409, AAVSO 1901+27, 
IRAS19039+0809	 V* R Aql, AG+08 2461, BD+08 3970, CCDM J19063+0814A, CSI+08 3970 1, DO 5336, GC 26297, GCRV 11562, GEN# +1.00177940, GSC 01040-00241, HD 177940, HIC 93820, HIP 93820, HR 7243, IDS 19016+0805 A, IRAS 19039+0809, IRAS 19038+0809, IRC +10406, 2MASS J19062224+0813478, OH 42.0 +0.5, PPM 167172, RAFGL 2324, SAO 124266, SKY# 35337, TYC 1040-241-1, KW97 35-54, LFO93 1903+08, PCC93 351, TVH89 380, AAVSO 1901+08, 
IRAS19039+1634	 IRAS 19039+1634, 
IRAS19046+1121	 IRAS 19046+1121, 
IRAS19047+1539	 IRAS 19047+1539, 
IRAS19051+3338	 V* AB Lyr, AN 93.1905, IRAS 19051+3338, ROTSE1 J190659.64+334330.5, SV* R 305, AAVSO 1903+33, 
IRAS19052+0922	 IRAS 19052+0922, MSX6C G043.1852+00.7364, LFO93 1905+09, 
IRAS19054+0419	 IRAS 19054+0419, MSX6C G038.7272-01.6528, 
IRAS19055+0225	 MSX6C G037.0617-02.5474, IRAS 19055+0225, MSX5C G037.0617-02.5474, 
IRAS19057+0141	 V* V1612 Aql, Cl* NGC 6749 ROB 53, IRAS 19057+0141, MSX6C G036.4375-02.9402, 
IRAS19059-2219	 V* V3880 Sgr, IRAS 19059-2219, IRC -20540, RAFGL 2330, LFO93 1905-22, PCC93 353, TVH89 382, 
IRAS19061+0652	 IRAS 19061+0652, 
IRAS19065+0529	 IRAS 19065+0529, 
IRAS19065+1444	 IRAS 19065+1444, 
IRAS19068+0802	IRAS 19068+0802, 
IRAS19069+0916	IRAS 19069+0916, 
IRAS19071+0625	 IRAS 19071+0625, 
IRAS19071+0946	 WTM81 OH 043.8+00.5, IRAS 19071+0946, MSX6C G043.7619+00.5138, OH 43.8 +0.5, PCC93 357, TVH89 386, 
IRAS19071+2934	 V* V Lyr, BD+29 3493a, CSI+29 3493 2, GCRV 11620, HD 178876, IRAS 19071+2934, IRC +30360, KW97 36-2, AAVSO 1905+29A, 
IRAS19073+2928	 V* VZ Lyr, AN 98.1905, IRAS 19073+2928, ROTSE1 J190918.55+293243.9, UCAC2 42268763, AAVSO 1905+29B, 
IRAS19074+0336	 IRAS 19074+0336, 2MASS J19095492+0341273, MSX5C G038.3267-02.4172, MSX6C G038.3267-02.4172, 
IRAS19078+2759	 IRAS 19078+2759, 
IRAS19081+0322	 MSX6C G038.1933-02.6817, GLMP 882, IRAS 19081+0322, MSX5C G038.1932-02.6822, 
IRAS19081+0903	IRAS 19081+0903, 
IRAS19082+4331	 IRAS 19082+4331, 
IRAS19083+2745	 V* UV Lyr, AN 110.1914, IRAS 19083+2745, UCAC2 41580203, AAVSO 1906+27A, 
IRAS19083-0017	 IRAS 19083-0017, 
IRAS19085+0755	IRAS 19085+0755, 
IRAS19087+0323	 IRAS 19087+0323, MSX6C G038.2907-02.8202, PCC93 360, 
IRAS19087+1413	 IRAS 19087+1413, 
IRAS19088+0902 IRAS 19088+0902, 
IRAS19090+1746	 V* KK Sge, GSC 01590-03155, IRAS 19090+1746, LMW2001 545, RG78 22, AAVSO 1906+17, 
IRAS19095+2808	 V* UW Lyr, AN 111.1914, IRAS 19095+2808, 
IRAS19099+6711	 V* U Dra, BD+67 1124, GCRV 11654, HD 180050, IRAS 19099+6711, IRC +70149, RAFGL 2339S, AAVSO 1909+67, 
IRAS19102+0506	 IRAS 19102+0506, 
IRAS19107+4113	 V* RU Lyr, AN 11.1902, BD+41 3264a, GCRV 11666, IRAS 19107+4113, PCC93 363, AAVSO 1909+41, 
IRAS19111+2555	 V* S Lyr, BD+25 3752a, CSS 1112, GSC 02127-00991, Hen 4-216, IRAS 19111+2555, Kiso C7-4, 2MASS J19131180+2600278, RAFGL 2342S, RAFGL 2342, S1* 594, KW97 36-23, AAVSO 1909+25, 
IRAS19111+3319	 IRAS 19111+3319, 
IRAS19112+1439	 IRAS 19112+1439, 
IRAS19116+1511	 IRAS 19116+1511, 2MASS J19135846+1516562, MSX6C G049.0691+02.0573, PCC93 365, 
IRAS19116-1853	 V* RX Sgr, CSI-18-19116, GCRV 11684, HD 179769, IRAS 19116-1853, IRC -20547, 2MASS J19143265-1848426, PPM 720278, SV* HV 80, AAVSO 1908-18, 
IRAS19118+4653	 V* SS Lyr, AN 63.1903, CSI+46-19118, HD 180162, HIC 94438, HIP 94438, ILF1+46 70, IRAS 19118+4653, IRC +50289, 2MASS J19131555+4658558, RAFGL 2346, AAVSO 1910+46, 
IRAS19122-0230	 IRAS 19122-0230, GLMP 892, 
IRAS19126+0648	 IRAS 19126+0648, 
IRAS19126-0708	 V* W Aql, CSI-07-19127, CSS 1115, GC 26525, GCRV 11697, GSC 05142-02895, IRAS 19126-0708, IRC -10497, RAFGL 2349, S1* 597, SAO 143184, SKY# 35730, LFO93 1912-07, AAVSO 1910-07, 
IRAS19127+1717	 PN G051.0+02.8, GSC2 N0233300543, HBHA 1702-03, IRAS 1912+172P09, IRAS 19127+1717, 2MASS J19145972+1722460, MSX5C G051.0421+02.8118, PK 051+02 1, PN WhMe 1, SS 438, KW97 36-31, 
IRAS19128+0910	 MSX6C G043.8846-01.0195, IRAS 19128+0910, 
IRAS19128+1310	 IRAS 19128+1310, 2MASS J19150796+1316000, MSX6C G047.4137+00.8732, 
IRAS19131+1551	 IRAS 19131+1551, 
IRAS19133-1703	 V* T Sgr, BD-17 5546, CSS 1117, GCRV 11709, GSC 06300-02353, HD 180196, HIC 94706, HIP 94706, IRAS 19133-1703, IRC -20548, 2MASS J19161443-1658168, PPM 720315, RAFGL 4245, S1* 598, SKY# 35765, TYC 6300-2353-1, C97 53, AAVSO 1910-17, 
IRAS19134+2131	 MSX6C G054.8673+04.6405, IRAS 1913+215P09, IRAS 19134+2131, 2MASS J19153520+2136340, HSD93b 16, NHO98 19134+2131, PCC93 370, VP95 WSRT1 31, 
IRAS19136+2055	 IRAS 19136+2055, 
IRAS19137-1923	 V* R Sgr, BD-19 5367, GC 26557, GCRV 11716, GEN# +1.00180275, GSC 06304-02023, HD 180275, HIC 94738, HIP 94738, IRAS 19137-1923, IRC -20549, 2MASS J19164179-1918276, PPM 235750, RAFGL 2353, SAO 162394, SKY# 35784, TYC 6304-2023-1, YZ 109 8188, AAVSO 1910-19, 
IRAS19140+0652	 IRAS 19140+0652, MSX6C G041.9834-02.3578, 
IRAS19144+0948	 IRAS 19144+0948, 
IRAS19146+0959	IRAS 19146+0959, NSV11872, 
IRAS19146-2401	 V* TY Sgr, AN 164.1908, CD-24 15190, HD 180491, IRAS 19146-2401, SV* HV 3179, AAVSO 1911-24, 
IRAS19147+1349	 IRAS 19147+1349, MSX6C G048.2064+00.7747, 
IRAS19147+5004	IRAS 19147+5004, TZ Cyg, 
IRAS19147-0014	 V* FP Aql, IRAS 19147-0014, 2MASS J19171966-0008517, SV* R 307, AAVSO 1912-00, 
IRAS19148+1702	 IRAS 19148+1702, 
IRAS19149+1638	 IRAS 19149+1638, 2MASS J19171155+1643545, MSX6C G050.7133+02.0461, 
IRAS19151+1456	 IRAS 19151+1456, 
IRAS19156+1906	 IRAS 19156+1906, 2MASS J19175313+1912163, 
IRAS19158+0141	 NOVA Aql 1919, AN 7.1920, C* 2719, CGCS 4225, GSC2 N020103213277, IRAS 19158+0141, Lund 21, PK 037-05 1, PN VV' 489, PN G037.5-05.1, PN ARO 150, PN A66 58, PN A55 45, SCM 239, V* V605 Aql, AAVSO 1913+01, 
IRAS19158+1955	 V* NO Sge, GSC 01607-00201, IRAS 19158+1955, 2MASS J19175954+2001245, RG78 71, 
IRAS19160+0755	 IRAS 19160+0755, MSX6C G043.1418-02.2973, PCC93 371, 
IRAS19161+2343	 TVH89 393, IRAS 19161+2343, 2MASS J19181467+2349279, RAFGL 2362, LFO93 1916+23, PCC93 372, 
IRAS19165-1907	 V* S Sgr, BD-19 5394, GCRV 11773, HD 181005, IRAS 19165-1907, AAVSO 1913-19, 
IRAS19167+1733	 IRAS 19167+1733, 2MASS J19190002+1738519, MSX6C G051.7253+02.0913, 
IRAS19167-2101	 V* Z Sgr, CSI-21-19167, GCRV 11777, HD 181060, IRAS 19167-2101, IRC -20555, RAFGL 5561, AAVSO 1913-21, 
IRAS19171+1119	 IRAS 19171+1119, 
IRAS19172+1706	 V* W Sge, AN 46.1906, CSI+17-19172, GCRV 11785, HD 181332, IRAS 19172+1706, IRC +20396, 2MASS J19193236+1712191, SV* HV 1206, AHB74 V 11, KW97 36-52, LMW2001 541, LTY2003 NIRS 19172+1706, AAVSO 1915+17, 
IRAS19172+1956	 MSX6C G053.8847+03.1025, IRAS 19172+1956, 
IRAS19175+1042	 IRAS 19175+1042, MSX6C G045.7847-01.3197, 
IRAS19176+1939	 MSX6C G053.6832+02.9102, IRAS 19176+1939, 
IRAS19178+1206	 IRAS 19178+1206, 2MASS J19201401+1212202, MSX6C G047.0573-00.7213, 
IRAS19181+1346	IRAS 19181+1346, 
IRAS19181+1349	 KCW94 048.606+00.023, GAL 048.60+00.03, GAL 048.61+00.02, IRAS 19181+1349, OH 48.60 +0.03, 
IRAS19182+4009	 IRAS 19182+4009, 
IRAS19184+3746	 V* U Lyr, BD+37 3418b, C* 2724, CCDM J19201+3752A, CGCS 4241, CSI+37 3418 1, GCRV 11802, GSC 03134-01708, HIC 95024, IDS 19166+3742 A, IRAS 19184+3746, IRC +40345, 2MASS J19200914+3752370, MSB 35, RAFGL 5367S, TYC 3134-1708-1, AAVSO 1916+37, 
IRAS19185+4135	 V* HO Lyr, HIC 95032, HIP 95032, IRAS 19185+4135, 2MASS J19200875+4140591, ROTSE1 J192008.97+414053.7, SV* SVS 705, AAVSO 1916+41, 
IRAS19186+1657	 IRAS 19186+1657, 2MASS J19205173+1703296, MSX6C G051.4124+01.4225, 
IRAS19187+2221	 MSX6C G056.1858+03.9540, IRAS 19187+2221, 2MASS J19205020+2227230, MSX5C G056.1864+03.9536, 
IRAS19190+1102	 IRAS 19190+1102, G046.2561-01.4763,
IRAS19190+1102	 IRAS 19190+1102, G046.2561-01.4763, 
IRAS19190+1128	 MSX6C G046.6305-01.2838, IRAS 19190+1128, 
IRAS19190+3035	 IRAS 19190+3035, 2MASS J19205923+3041286, 
IRAS19192+0922	 TVH89 396, IRAS 19192+0922, MSX6C G044.7950-02.3066, NSV 24761, OH 44.79 -2.31, OH 44.8 -2.3, OH 44.8 -2.2, RAFGL 2374, LFO93 1919+09, LMW2001 503, NHO98 19192+0922, PCC93 375, 
IRAS19192+1447	 IRAS 19192+1447, ALS 10258, BD+14 3887, EM* MWC 314, GCRV 69340, GEN# +0.01403887, GSC 01054-00441, HBHA 1203-09, Hen 3-1745, Hilt 801, JP11 50, LS II +14 11, 2MASS J19213397+1452570, MCW 730, PLX 4531, TYC 1054-441-1, UBV M 670, UBV 16391, V* V1429 Aql, KW97 37-7, 
IRAS19195+0522	 IRAS 19195+0522, 2MASS J19220334+0528270, MSX6C G041.3138-04.2713, 
IRAS19195+1747	 MSX6C G052.2414+01.6277, IRAS 19195+1747, 2MASS J19214411+1753097, MSX5C G052.2411+01.6276, 
IRAS19199+2100	 IRAS 19199+2100, 
IRAS19199+3154	 V* AN Lyr, AN 176.1928, GSC 02658-01662, IRAS 19199+3154, 2MASS J19215009+3200314, D75 90, AAVSO 1918+31, 
IRAS19200+1536	 TVH89 398, IRAS 1920+156P09, IRAS 19200+1536, 2MASS J19221776+1541489, 2MASSI J1922177+154149, MSX5C G050.3719+00.4788, MSX6C G050.3728+00.4784, 
IRAS19201+1040	 MSX6C G046.0504-01.8826, IRAS 19201+1040, 
IRAS19201+1400	 IRAS 19201+1400, MSX6C G048.9897-00.2992, NVSS J192225+140633, 
IRAS19201+2101	 OH 55.2 +0.7, IRAS 19201+2101, MSX6C G055.1632+03.0337, 
IRAS19204+0124	 NGC 6790, BD+01 3979, GCRV 11824, GSC2 N0201001326, GSC 00465-00361, HBHA 204-14, HD 182083, IRAS 19204+0124, 2MASS J19225696+0130465, NSV 11959, PK 037-06 1, PN VV 229, PN VV' 496, PN ARO 33, PN G037.8-06.3, SCM 241, SV* SON 9934, KW97 37-13, 
IRAS19205+1403	 IRAS 19205+1403, GAL 049.10-00.40, 
IRAS19206+2255	 IRAS 19206+2255, 
IRAS19206+2517	 IRAS 19206+2517, 2MASS J19224384+2522559, 
